Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2022,YEAR,STATE,39,6,TOTAL,"255,334,000",255334000
2022,YEAR,STATE,,6,TOTAL,"2,558,953,000",2558953000
2022,YEAR,STATE,42,6,TOTAL,"450,602,000",450602000
2022,YEAR,STATE,46,6,TOTAL,"533,229,000",533229000
2022,YEAR,STATE,50,6,TOTAL,"147,814,000",147814000
2022,YEAR,STATE,55,6,TOTAL,"3,520,083,000",3520083000
2021,APR,STATE,6,6,TOTAL,"207,342,000",207342000
2021,APR,STATE,16,6,TOTAL,"86,941,000",86941000
2021,APR,STATE,17,6,TOTAL,"5,109,000",5109000
2021,APR,STATE,19,6,TOTAL,"30,163,000",30163000
2021,APR,STATE,27,6,TOTAL,"62,902,000",62902000
2021,APR,STATE,34,6,TOTAL,"4,248,000",4248000
2021,APR,STATE,35,6,TOTAL,"79,545,000",79545000
2021,APR,STATE,36,6,TOTAL,"68,334,000",68334000
2021,APR,STATE,39,6,TOTAL,"20,789,000",20789000
2021,APR,STATE,,6,TOTAL,"200,539,000",200539000
2021,APR,STATE,42,6,TOTAL,"38,132,000",38132000
2021,APR,STATE,46,6,TOTAL,"42,410,000",42410000
2021,APR,STATE,50,6,TOTAL,"12,615,000",12615000
2021,APR,STATE,55,6,TOTAL,"294,211,000",294211000
2021,AUG,STATE,6,6,TOTAL,"201,665,000",201665000
2021,AUG,STATE,16,6,TOTAL,"77,879,000",77879000
2021,AUG,STATE,17,6,TOTAL,"5,429,000",5429000
2021,AUG,STATE,19,6,TOTAL,"28,029,000",28029000
2021,AUG,STATE,27,6,TOTAL,"64,458,000",64458000
2021,AUG,STATE,34,6,TOTAL,"4,937,000",4937000
2021,AUG,STATE,35,6,TOTAL,"79,231,000",79231000
2021,AUG,STATE,36,6,TOTAL,"71,344,000",71344000
2021,AUG,STATE,39,6,TOTAL,"20,372,000",20372000
2021,AUG,STATE,,6,TOTAL,"207,666,000",207666000
2021,AUG,STATE,42,6,TOTAL,"35,557,000",35557000
2021,AUG,STATE,46,6,TOTAL,"44,766,000",44766000
2021,AUG,STATE,50,6,TOTAL,"11,870,000",11870000
2021,AUG,STATE,55,6,TOTAL,"294,128,000",294128000
2021,DEC,STATE,6,6,TOTAL,"204,970,000",204970000
2021,DEC,STATE,16,6,TOTAL,"88,252,000",88252000
2021,DEC,STATE,17,6,TOTAL,"6,233,000",6233000
2021,DEC,STATE,19,6,TOTAL,"31,828,000",31828000
2021,DEC,STATE,27,6,TOTAL,"66,945,000",66945000
2021,DEC,STATE,34,6,TOTAL,"5,754,000",5754000
2021,DEC,STATE,35,6,TOTAL,"84,100,000",84100000
2021,DEC,STATE,36,6,TOTAL,"72,146,000",72146000
2021,DEC,STATE,39,6,TOTAL,"23,903,000",23903000
2021,DEC,STATE,,6,TOTAL,"219,314,000",219314000
2021,DEC,STATE,42,6,TOTAL,"37,060,000",37060000
2021,DEC,STATE,46,6,TOTAL,"45,295,000",45295000
2021,DEC,STATE,50,6,TOTAL,"12,243,000",12243000
2021,DEC,STATE,55,6,TOTAL,"303,232,000",303232000
2021,FEB,STATE,6,6,TOTAL,"193,805,000",193805000
2021,FEB,STATE,16,6,TOTAL,"72,986,000",72986000
2021,FEB,STATE,17,6,TOTAL,"4,941,000",4941000
2021,FEB,STATE,19,6,TOTAL,"26,633,000",26633000
2021,FEB,STATE,27,6,TOTAL,"59,162,000",59162000
2021,FEB,STATE,34,6,TOTAL,"4,115,000",4115000
2021,FEB,STATE,35,6,TOTAL,"72,293,000",72293000
2021,FEB,STATE,36,6,TOTAL,"66,515,000",66515000
2021,FEB,STATE,39,6,TOTAL,"18,857,000",18857000
2021,FEB,STATE,,6,TOTAL,"173,738,000",173738000
2021,FEB,STATE,42,6,TOTAL,"32,842,000",32842000
